iter	Logloss
0	0.6838307889
1	0.6770142627
2	0.6686313385
3	0.6594729088
4	0.6522317799
5	0.6448783258
6	0.6365358023
7	0.6286204461
8	0.6225705088
9	0.615548783
10	0.6083479365
11	0.6003249106
12	0.5915475265
13	0.5831743473
14	0.5762012287
15	0.5687006511
16	0.5610112077
17	0.5543725791
18	0.5470699811
19	0.5405576838
20	0.535325665
21	0.5296699115
22	0.5235302955
23	0.5175715362
24	0.5119193335
25	0.5063708157
26	0.5000216996
27	0.4940854685
28	0.4889530707
29	0.4830315164
30	0.4779278411
31	0.4719241438
32	0.4677057346
33	0.4629561974
34	0.4577828859
35	0.4516340378
36	0.4475084636
37	0.4425169162
38	0.4389872536
39	0.4342264325
40	0.4294059571
41	0.4239628995
42	0.4209140612
43	0.4161369062
44	0.4124282413
45	0.407799354
46	0.4046294712
47	0.4002902543
48	0.3967532927
49	0.3933290902
50	0.3897255698
51	0.3860832269
52	0.3828015318
53	0.379001176
54	0.3755862058
55	0.3726187215
56	0.3696695437
57	0.3668154499
58	0.364145724
59	0.3615972794
60	0.359332232
61	0.3556036823
62	0.3531292137
63	0.3502454505
64	0.3473118965
65	0.3446856883
66	0.3428061053
67	0.3389494883
68	0.3361035219
69	0.3330709782
70	0.3309699011
71	0.3289144327
72	0.3253425544
73	0.3227322066
74	0.3200555171
75	0.3173251112
76	0.3151547531
77	0.3121833826
78	0.311050346
79	0.3094816202
80	0.3068793999
81	0.3045117724
82	0.3024778064
83	0.300252134
84	0.2985856809
85	0.2966096135
86	0.2950862399
87	0.2927846385
88	0.2908181583
89	0.2892072957
90	0.2868828703
91	0.2852654583
92	0.2834063914
93	0.2814978493
94	0.2798301731
95	0.2788083176
96	0.2767217004
97	0.2750729029
98	0.2735120678
99	0.2718508424
100	0.2699155308
101	0.2685652414
102	0.2669905186
103	0.2656328513
104	0.2643919873
105	0.2626152211
106	0.2607050811
107	0.2591676422
108	0.25783128
109	0.2565577876
110	0.255230125
111	0.2538618249
112	0.2530669081
113	0.2516620934
114	0.2504570732
115	0.2494010112
